car,move
E,-2
A,2
E,2
O,-1
C,-1
Z,-1
I,1
C,1
U,-1
V,-1
Z,1
P,-1
V,1
A,-2
I,1
A,1
U,1
E,-1
O,1
J,-1
Q,1
X,1
V,-3
P,1
Y,1
I,1
V,3
X,1
C,-1
A,-1
G,-1
X,1
J,2
I,1
Q,-1
L,-2
I,-4
C,1
I,1
L,2
I,1
W,-1
Y,-1
I,1
D,1
I,1
A,1
B,-1
D,1
U,-1
O,-1
B,2
N,-4
I,-2
T,1
B,-1
D,-2
A,-1
I,2
B,1
N,2
Y,1
K,1
B,1
E,1
W,1
M,1
I,-5
L,-1
K,-1
G,1
K,1
N,-1
C,-1
E,-2
I,1
M,-1
S,-1
I,2
V,-2
I,-2
B,-2
I,1
F,-3
X,2
